text,sentiment
@USAirways hour 4 at the gate.,Negative
No. RT @JetBlue Our fleet's on fleek.,Neutral
"@AmericanAir would have been had I seen this before 1130pm EST, when I was sound asleep.",Negative
@SouthwestAir got it.  Next time I will know about paying extra to make the A Line.,Neutral
@AmericanAir I might look into that. My wife travels much more than I do. Could we both use the membership?,Positive
@united please be good to me this weekend!,Neutral
"@JetBlue hey, so, Dre at Seatac check in needs a raise, stat. Dude gave me amazing customer service and made me feel valued. 👍",Positive
"@USAirways - why can't the gate agent on flight #759 provide an update? Seriously, this is ridiculous how long people have been waiting",Negative
@SouthwestAir customer service is rude and bothered by our calls. Has no idea what is going on and sighed heavily on the phone. Unbelievable,Negative
@SouthwestAir thanks for linking to #Passbook. Might be old news but this is my first 2015 flight.,Neutral
"@united What does ""Cabin Functionality"" mean when I'm taking a customer satisfaction survey?",Neutral
@USAirways No I need the corporate office number please as that is who is dealing with this for me. It's a 480 number.,Neutral
@united couldn't have possibly messed up our trip anymore than they did. Thanks for being such a terrible airline. #disappointed,Negative
"@USAirways 
This is how vacations get Cancelled Flightled been on hold ⤵for 40+ minutes still havent talked to anyone. #failure http://t.co/ef4P0HISHb",Negative
@USAirways I think it's ok.,Neutral
"@USAirways Thanks. Suggestion: stop the promo messages after a bit and just run music &amp; a msg that says ""call volume is high."" #vrm",Neutral
"Cc @DadBoner  #boldflavors “@united: We’re bringing Bourbon St. to 35,000 ft. with bold flavors, fresh ingredients and more dining options""",Positive
@SouthwestAir is having a party in the atl terminal. #letitgo http://t.co/qxTeqZm3yz,Neutral
@USAirways @AmericanAir can someone help me with some travel issues today?,Neutral
@USAirways see you on board tomorrow,Positive
@united Life goal: complete ✔️,Positive
@AmericanAir Flight for tomorrow was Cancelled Flightled. New one booked. Seats taken care of. Just a tweet to commend you all on the service. Thanks!,Positive
@SouthwestAir what is the status of the bag check area at FFL?,Neutral
@SouthwestAir sure can! Just a second.,Neutral
@USAirways @erickofiejones how long are billing cycles,Neutral
"@united unfortunately, that doesn't help. Just an automated computer.",Negative
@JetBlue where do I add my AA loyalty number to my Jetblue reservation?,Neutral
"@JetBlue your customer services agent Jorge at Orlando International is rude and disrespectful, I never want to deal with your bullshit ever",Negative
@JetBlue is it true there's a new A320 livery and a new website...?!,Neutral
"@united feeling poor on the church-mouse level here, 180 dollars is enough to make a grown man cry. I'm not a grown man but tears happened",Negative
@SouthwestAir finally boarded. Looks like I'll make it to my final destination but my baggage won't # baggagefail #bagsflyfreebutnotwithme,Negative
@JetBlue thank you for the information.,Positive
@USAirways Expedia reserved a ticket for me and 2 more for a USAW flight but only issued 1. They are not responsive.Thoughts?,Neutral
"@AmericanAir yes, I will do just that as soon as I have a moment to gather my thoughts.",Neutral
"@AmericanAir although you have no control of the weather, you came through with a great customer service",Positive
@JetBlue you're welcome 👍👍👍 http://t.co/67k4N9eQ6E,Positive
@AmericanAir your message was delayed I just responded,Neutral
Then you better #HoldOn - #EverythingsGonnaBeAlright @jetblue 4 our #brandloveaffair https://t.co/64kN6GEEP8 #TrueBlueLove #travel #business,Positive
@united you have failed so uncontrollably today that it's beyond repair. I'm beyond livid with your absolute disregard to operations.,Negative
@AmericanAir so what are you going to do for me since I can't take the option you gave me. What type of refund will you do for me?,Negative
@USAirways please respond to me. I've been on hold on the reservations line for an hour and 45 minutes. I would really appreciate it.,Negative
@AmericanAir thanks for the generic computer generated response. How about you accommodate your travelers instead of just saying sorry,Negative
"@AmericanAir We did talk with Delta for about hour over phone, and I got a number from Delta that they asked to give to AA, which I did.",Neutral
@united I was protected on that flight by gate agent Kerry at LAS. She also did an excellent job getting me to my destination today. Thanks!,Positive
@united EVERYTIME I fly UR airline I hate you even more ! Thanks for the terrible service on flight 1071,Negative
"@JetBlue you service agents at MCO are great, but their are not enough of them working right now!",Negative
"@SouthwestAir Next once we arrived to Atlanta, we waited a full HOUR before our luggage was placed on a carousel. One hour!",Negative
@JetBlue we are trying to go as far away from King'sCollegeLondon as possible for charity today. Would you help us ? #jailbreak #RAG,Neutral
